Ingredients,Category,Inventory,Shopping List,Recipes,Favorites,Season
Avocado,Vegetables,Low,No,Yrttinen uunitofu (https://app.notion.com/p/Yrttinen-uunitofu-3205c35c29d080df81c7c3c095f4eb88?pvs=21),No,"April, February, January, March"
Banaani,Fruits,Not relevant,No,,No,"February, January, March"
Blood orange,Fruits,Not relevant,No,,No,"April, February, March"
Carrots (kotimainen),"Root vegetable, Vegetables",Not relevant,No,"Porkkanaletut (https://app.notion.com/p/Porkkanaletut-2f75c35c29d080aea793eb9234efc50f?pvs=21), Kikhernepihvit (https://app.notion.com/p/Kikhernepihvit-2fd5c35c29d0800e9529f50bccc1354d?pvs=21)",No,"April, February, January, March"
Ginger,"Root vegetable, Vegetables",,No,Limettinuudelit (https://app.notion.com/p/Limettinuudelit-2f85c35c29d08006bb67f8356d7b8d3b?pvs=21),No,"April, March"
Guava,Fruits,Not relevant,No,,No,"February, January, March"
Juuri- ja mukulaselleri (kotimainen),"Root vegetable, Vegetables",,No,,No,"February, March"
Kelta- ja kaurajuuri (kotimainen),"Root vegetable, Vegetables",,No,,No,"April, February, March"
Korvasieni (myrkyllinen!),Mushrooms,Not relevant,No,,No,April
Lanttu (kotimainen),"Root vegetable, Vegetables",Not relevant,No,,No,"February, January, March"
Lime,Fruits,Low,No,"Punakaali-bao buns (https://app.notion.com/p/Punakaali-bao-buns-2f15c35c29d080a9a4e9d89178f230cd?pvs=21), Limettinuudelit (https://app.notion.com/p/Limettinuudelit-2f85c35c29d08006bb67f8356d7b8d3b?pvs=21), Uunifeta-parsapasta (https://app.notion.com/p/Uunifeta-parsapasta-3355c35c29d0807aad8ee174255f2859?pvs=21)",No,"April, February, January, March"
Maa-artisokka (kotimainen),,Not relevant,No,,No,"February, January, March"
Mandarin,Fruits,Not relevant,No,,No,"April, February, March"
Mango,Fruits,Not relevant,No,,No,"February, March"
Mustajuuri,,Not relevant,No,,No,"April, February, January, March"
"Onion (yellow, kotimainen)",Vegetables,Full,No,"Suppilovahveropasta (https://app.notion.com/p/Suppilovahveropasta-2fc5c35c29d080c78a99e56426eed919?pvs=21), Kikhernepihvit (https://app.notion.com/p/Kikhernepihvit-2fd5c35c29d0800e9529f50bccc1354d?pvs=21), Palak paneer (https://app.notion.com/p/Palak-paneer-2f15c35c29d08037a4e2e21076c3cc02?pvs=21), Creamy barley (ohra) and mushroom risotto (https://app.notion.com/p/Creamy-barley-ohra-and-mushroom-risotto-3275c35c29d080fc85b6d02b1be0fc6a?pvs=21), Kasvissosekeitto (https://app.notion.com/p/Kasvissosekeitto-3b55c35c29d080479aa8fa31bda0bb40?pvs=21)",No,"February, January, March"
Orange,Fruits,Not relevant,No,,No,"April, February, January, March"
Palsternakka (kotimainen),,Not relevant,No,,No,"February, January, March"
Papaya,Fruits,,No,,No,"February, March"
Parsa,Vegetables,Low,No,Uunifeta-parsapasta (https://app.notion.com/p/Uunifeta-parsapasta-3355c35c29d0807aad8ee174255f2859?pvs=21),No,April
Pear (kotimainen),Fruits,Not relevant,No,,No,"February, March"
Pineapple,Fruits,Not relevant,No,,No,"April, February, March"
Piparjuuri (kotimainen),"Root vegetable, Vegetables",Not relevant,No,,No,"April, March"
Portobello (kotimainen),"Mushrooms, Vegetables",Not relevant,No,,No,"April, February, January, March"
Potatoes (kotimainen),"Root vegetable, Staples, Vegetables",Low,No,Intialainen linssikeitto (https://app.notion.com/p/Intialainen-linssikeitto-32c5c35c29d080ed8fd6eefd64726c05?pvs=21),No,"April, February, January, March"
Punajuuri (kotimainen),,Not relevant,No,,No,"April, February, January, March"
Punakaali (kotimainen),"Root vegetable, Vegetables",Low,No,"Punakaali-bao buns (https://app.notion.com/p/Punakaali-bao-buns-2f15c35c29d080a9a4e9d89178f230cd?pvs=21), Yrttinen uunitofu (https://app.notion.com/p/Yrttinen-uunitofu-3205c35c29d080df81c7c3c095f4eb88?pvs=21)",No,"April, February, March"
Raitajuuri,,Not relevant,No,,No,"April, February, January, March"
Red onion (kotimainen),Vegetables,Not relevant,No,"Punakaali-bao buns (https://app.notion.com/p/Punakaali-bao-buns-2f15c35c29d080a9a4e9d89178f230cd?pvs=21), Viherpippurilohi ja fenkolimuhennos (https://app.notion.com/p/Viherpippurilohi-ja-fenkolimuhennos-2fc5c35c29d080a68a12f4cd61c3fb11?pvs=21)",No,"February, March"
Salottisipuli (kotimainen),Vegetables,Not relevant,No,Limettinuudelit (https://app.notion.com/p/Limettinuudelit-2f85c35c29d08006bb67f8356d7b8d3b?pvs=21),No,"February, March"
Siitakesieni (kotimainen),"Mushrooms, Vegetables",Not relevant,No,,No,"February, January, March"
Suippopaprika (kotimainen),Vegetables,Not relevant,No,,No,April
Sweet potato,"Root vegetable, Vegetables",Not relevant,No,Bataatticurry (https://app.notion.com/p/Bataatticurry-2f65c35c29d0805f9541e4b7d814e75a?pvs=21),No,"April, February, January, March"
Valko-/keräkaali (kotimainen),"Cabbage, Vegetables",Not relevant,No,,Yes,"April, February, January, March"
Varhaisparsakaali,,Not relevant,No,,No,April
Verigreippi,,Not relevant,No,,No,"February, January, March"
