Ingredients,Category,Favorites,Inventory,Recipes,Season,Shopping List
Thyme,Herbs & Spices,No,Not relevant,,,No
Rice,Grains,No,Full,,,No
Eggs,Meat & Proteins,No,Low,"Shakshuka (https://app.notion.com/p/Shakshuka-2f15c35c29d0801abef8e0ebc956e020?pvs=21), Porkkanaletut (https://app.notion.com/p/Porkkanaletut-2f75c35c29d080aea793eb9234efc50f?pvs=21), Kikhernepihvit (https://app.notion.com/p/Kikhernepihvit-2fd5c35c29d0800e9529f50bccc1354d?pvs=21), Naan (https://app.notion.com/p/Naan-31b5c35c29d08027b0e5e969d5cafef1?pvs=21)",,No
Lemon,Fruits,No,Not relevant,"Viherpippurilohi ja fenkolimuhennos (https://app.notion.com/p/Viherpippurilohi-ja-fenkolimuhennos-2fc5c35c29d080a68a12f4cd61c3fb11?pvs=21), Hummuspasta (https://app.notion.com/p/Hummuspasta-3095c35c29d080b89f8dd93f31d516f3?pvs=21), Yrttinen uunitofu (https://app.notion.com/p/Yrttinen-uunitofu-3205c35c29d080df81c7c3c095f4eb88?pvs=21), Uunifeta-parsapasta (https://app.notion.com/p/Uunifeta-parsapasta-3355c35c29d0807aad8ee174255f2859?pvs=21)",February,No
Strawberries,Fruits,No,Not relevant,,,No
Paprika,Herbs & Spices,No,Full,,,No
Mustard,Pantry & Condiments,No,Not relevant,,,No
Shrimps,Fish & Seafood,No,Not relevant,,,No
Sesame Seeds,Beans & Seeds & Nuts,No,Low,,,No
Couscous,Grains,No,Not relevant,,,No
Butter,Dairy & Alternatives,No,Full,,,No
Pasta,Grains,No,Full,"Suppilovahveropasta (https://app.notion.com/p/Suppilovahveropasta-2fc5c35c29d080c78a99e56426eed919?pvs=21), Hummuspasta (https://app.notion.com/p/Hummuspasta-3095c35c29d080b89f8dd93f31d516f3?pvs=21), Paahdettu kikhernepasta (https://app.notion.com/p/Paahdettu-kikhernepasta-3145c35c29d080669ddef66a2be86e49?pvs=21), Uunifeta-parsapasta (https://app.notion.com/p/Uunifeta-parsapasta-3355c35c29d0807aad8ee174255f2859?pvs=21)",,No
Potatoes (kotimainen),"Root vegetable, Staples, Vegetables",No,Low,Intialainen linssikeitto (https://app.notion.com/p/Intialainen-linssikeitto-32c5c35c29d080ed8fd6eefd64726c05?pvs=21),"April, February, January, March",No
