Recipes,Type,Ingredients,Favorites,URL
Bataatticurry,Main Course,"Sweet potato (https://app.notion.com/p/Sweet-potato-2f65c35c29d080ea908bed498598e488?pvs=21), Chickpeas (https://app.notion.com/p/Chickpeas-2f15c35c29d0810cb58ce23146535d01?pvs=21), Juustokumina (https://app.notion.com/p/Juustokumina-2f65c35c29d0809aadb2fae914ea8af4?pvs=21), Coconut milk (https://app.notion.com/p/Coconut-milk-2f65c35c29d080ff9e1ec0a0fcef27bc?pvs=21), Tomaattisose (https://app.notion.com/p/Tomaattisose-2f65c35c29d080b58b58d076ba1dd3c9?pvs=21), Spinach (https://app.notion.com/p/Spinach-2f65c35c29d080c3966cefc2f2254813?pvs=21)",No,https://www.k-ruoka.fi/reseptit/bataatticurry
Creamy barley (ohra) and mushroom risotto,Main Course,"Ohra (https://app.notion.com/p/Ohra-3275c35c29d0803e8a6fe3d38388cfa6?pvs=21), Other mushroom (https://app.notion.com/p/Other-mushroom-3275c35c29d0809e9fa3c4d83211d0c5?pvs=21), Onion (yellow, kotimainen) (https://app.notion.com/p/Onion-yellow-kotimainen-2f75c35c29d080b3ac55c2e22688765d?pvs=21), Garlic (https://app.notion.com/p/Garlic-2f15c35c29d08164a4dbccc0bf020341?pvs=21), Broth (https://app.notion.com/p/Broth-3275c35c29d080f6a80fc114e8bc2b07?pvs=21), Rypsiöljy (https://app.notion.com/p/Rypsi-ljy-3275c35c29d0807abe6cfceced47b89b?pvs=21), Cream cheese (https://app.notion.com/p/Cream-cheese-3275c35c29d08095bd42cc96d145a525?pvs=21), Parsley (https://app.notion.com/p/Parsley-2f15c35c29d08189aabddd848ead640a?pvs=21)",No,
Hummuspasta,Main Course,"Chickpeas (https://app.notion.com/p/Chickpeas-2f15c35c29d0810cb58ce23146535d01?pvs=21), Hummus (https://app.notion.com/p/Hummus-3095c35c29d080bb9fb6e607be9a528c?pvs=21), Lemon (https://app.notion.com/p/Lemon-2f15c35c29d0812299a7cfb2425fbebc?pvs=21), Ruusukaali (kotimainen) (https://app.notion.com/p/Ruusukaali-kotimainen-2f15c35c29d0802b97fedc596c9b3fdb?pvs=21), Parsley (https://app.notion.com/p/Parsley-2f15c35c29d08189aabddd848ead640a?pvs=21), Pasta (https://app.notion.com/p/Pasta-2f15c35c29d081e1ab56edf33a0024a8?pvs=21)",No,https://satokausi.fi/kun-arkiruoka-saa-twistia-uudet-talviset-suosikkireseptit/
Intialainen linssikeitto,Main Course,"Lentils (https://app.notion.com/p/Lentils-32c5c35c29d080e29c9ee401f91ee283?pvs=21), Potatoes (kotimainen) (https://app.notion.com/p/Potatoes-kotimainen-2f15c35c29d08121a222c47cfdc61e32?pvs=21), Cream (https://app.notion.com/p/Cream-2f15c35c29d081a8bb51e0158295fc9d?pvs=21), Tomaattimurska (https://app.notion.com/p/Tomaattimurska-32c5c35c29d08021bb3ae0cb272ef8e1?pvs=21)",No,https://www.k-ruoka.fi/reseptit/intialainen-linssikeitto
Juures-sienipiirakka,"Lunch, Main Course",,No,https://www.k-ruoka.fi/reseptit/juustoinen-juures-sienipiirakka
Kantarellikastike,Main Course,,Yes,https://www.k-ruoka.fi/reseptit/kantarellikastike
Kantarellipiirakka,"Lunch, Main Course",,Yes,https://www.k-ruoka.fi/reseptit/kantarellipiirakka
Kasvissosekeitto,Main Course,"Garlic (https://app.notion.com/p/Garlic-2f15c35c29d08164a4dbccc0bf020341?pvs=21), Onion (yellow, kotimainen) (https://app.notion.com/p/Onion-yellow-kotimainen-2f75c35c29d080b3ac55c2e22688765d?pvs=21), Cream (https://app.notion.com/p/Cream-2f15c35c29d081a8bb51e0158295fc9d?pvs=21), Sunflower seeds (https://app.notion.com/p/Sunflower-seeds-3b55c35c29d08015add2cf383aa979b4?pvs=21)",No,https://www.k-ruoka.fi/reseptit/kasvissosekeitto
Kesäkeitto,Main Course,"Cream cheese (https://app.notion.com/p/Cream-cheese-3275c35c29d08095bd42cc96d145a525?pvs=21), Cauliflower (https://app.notion.com/p/Cauliflower-3a45c35c29d080798360cd937b91c93f?pvs=21), Radish (https://app.notion.com/p/Radish-3a45c35c29d080a08a55da6eedc82326?pvs=21), Nippusipuli (https://app.notion.com/p/Nippusipuli-3a45c35c29d080d5a7b7d2696cc17849?pvs=21), Garlic (https://app.notion.com/p/Garlic-2f15c35c29d08164a4dbccc0bf020341?pvs=21), Kasvisliemikuutio (https://app.notion.com/p/Kasvisliemikuutio-3a45c35c29d08015a6e9e1dc909e4738?pvs=21), Peas (https://app.notion.com/p/Peas-3a45c35c29d080e19358e94c54b2d114?pvs=21), Sulatejuusto (https://app.notion.com/p/Sulatejuusto-3a45c35c29d080d4a6e7ea7335a80bb4?pvs=21)",Yes,https://www.k-ruoka.fi/reseptit/varikas-kesakeitto
Kikhernepihvit,"Main Course, Side Dish","Chickpeas (https://app.notion.com/p/Chickpeas-2f15c35c29d0810cb58ce23146535d01?pvs=21), Carrots (kotimainen) (https://app.notion.com/p/Carrots-kotimainen-2f15c35c29d08122a393d4be7e1953f6?pvs=21), Onion (yellow, kotimainen) (https://app.notion.com/p/Onion-yellow-kotimainen-2f75c35c29d080b3ac55c2e22688765d?pvs=21), Eggs (https://app.notion.com/p/Eggs-2f15c35c29d0810a9d34cef9c6bb558a?pvs=21), Vehnäjauho (https://app.notion.com/p/Vehn-jauho-2f65c35c29d080d0b279d725cd33b99b?pvs=21), Coriander (https://app.notion.com/p/Coriander-2f55c35c29d080998391dd6271449a1a?pvs=21)",No,https://www.k-ruoka.fi/reseptit/kikhernepihvit
Kurkuma-perunacurry,Main Course,,No,https://satokausi.fi/kurkuma-perunacurry/
